نام دامنه,پسوند (TLD),وضعیت,قیمت ثبت ۱ ساله در ایران‌سرور (تومان),قیمت تمدید سال‌های بعد در ایران‌سرور (تومان),نوع تعرفه تمدید,توضیحات وضعیت
bartan.media,.media,آزاد (قابل خرید),"1,832,000","12,874,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.memorial,.memorial,آزاد (قابل خرید),"13,961,000","13,961,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.men,.men,آزاد (قابل خرید),"2,000,000","2,289,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.mex.com,.mex.com,آزاد (قابل خرید),"4,355,000","4,355,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.miami,.miami,آزاد (قابل خرید),"6,532,000","6,532,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.mobi,.mobi,آزاد (قابل خرید),"1,647,000","15,306,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.moda,.moda,آزاد (قابل خرید),"4,536,000","11,522,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.mom,.mom,آزاد (قابل خرید),"669,000","9,016,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.money,.money,آزاد (قابل خرید),"4,536,000","10,096,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.monster,.monster,آزاد (قابل خرید),"669,000","5,232,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.mortgage,.mortgage,آزاد (قابل خرید),"3,344,000","17,717,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.motorcycles,.motorcycles,آزاد (قابل خرید),"669,000","5,232,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.movie,.movie,آزاد (قابل خرید),"15,759,000","98,333,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.name,.name,آزاد (قابل خرید),"2,312,000","2,312,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.name.pr,.name.pr,آزاد (قابل خرید),"38,304,000","38,304,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.navy,.navy,آزاد (قابل خرید),"12,832,000","12,832,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.net.ai,.net.ai,آزاد (قابل خرید),"34,192,000","34,192,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.net.co,.net.co,آزاد (قابل خرید),"5,413,000","5,413,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.net.ir,.net.ir,آزاد (قابل خرید),"99,000","99,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.network,.network,آزاد (قابل خرید),"1,832,000","10,222,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.news,.news,آزاد (قابل خرید),"4,016,000","9,215,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.ninja,.ninja,آزاد (قابل خرید),"2,268,000","8,754,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.nrw,.nrw,آزاد (قابل خرید),"13,461,000","13,461,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.observer,.observer,آزاد (قابل خرید),"3,176,000","3,176,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.one,.one,آزاد (قابل خرید),"7,046,000","7,046,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.ooo,.ooo,آزاد (قابل خرید),"7,658,000","7,658,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.or.at,.or.at,آزاد (قابل خرید),"3,481,000","3,481,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.org.ir,.org.ir,آزاد (قابل خرید),"99,000","99,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.organic,.organic,آزاد (قابل خرید),"4,536,000","24,510,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
