نام دامنه,پسوند (TLD),وضعیت,قیمت ثبت ۱ ساله در ایران‌سرور (تومان),قیمت تمدید سال‌های بعد در ایران‌سرور (تومان),نوع تعرفه تمدید,توضیحات وضعیت
bartan.training,.training,آزاد (قابل خرید),"4,956,000","12,004,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.travel,.travel,آزاد (قابل خرید),"6,704,000","45,917,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.tube,.tube,آزاد (قابل خرید),"7,661,000","7,661,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.tv,.tv,آزاد (قابل خرید),"8,669,000","8,669,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.university,.university,آزاد (قابل خرید),"4,536,000","17,717,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.uno,.uno,آزاد (قابل خرید),"7,258,000","7,258,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.vacations,.vacations,آزاد (قابل خرید),"2,268,000","11,165,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.ventures,.ventures,آزاد (قابل خرید),"2,268,000","16,763,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.vet,.vet,آزاد (قابل خرید),"11,280,000","11,280,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.viajes,.viajes,آزاد (قابل خرید),"12,207,000","12,207,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.video,.video,آزاد (قابل خرید),"3,344,000","10,264,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.villas,.villas,آزاد (قابل خرید),"4,536,000","16,173,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.vin,.vin,آزاد (قابل خرید),"2,672,000","16,763,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.vip,.vip,آزاد (قابل خرید),"5,444,000","5,444,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.vision,.vision,آزاد (قابل خرید),"2,268,000","13,115,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.vote,.vote,آزاد (قابل خرید),"11,004,000","27,865,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.voto,.voto,آزاد (قابل خرید),"4,536,000","21,512,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.voyage,.voyage,آزاد (قابل خرید),"2,268,000","16,553,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.wales,.wales,آزاد (قابل خرید),"3,532,000","3,532,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.watch,.watch,آزاد (قابل خرید),"1,160,000","12,517,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.webcam,.webcam,آزاد (قابل خرید),"4,352,000","4,526,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.website,.website,آزاد (قابل خرید),"656,000","7,548,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.wedding,.wedding,آزاد (قابل خرید),"9,072,000","9,072,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.wien,.wien,آزاد (قابل خرید),"13,461,000","13,461,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.wiki,.wiki,آزاد (قابل خرید),"9,072,000","9,072,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.win,.win,آزاد (قابل خرید),"2,000,000","2,289,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.work,.work,آزاد (قابل خرید),"3,629,000","3,629,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.works,.works,آزاد (قابل خرید),"1,832,000","11,165,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.world,.world,آزاد (قابل خرید),"992,000","11,584,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.ws,.ws,آزاد (قابل خرید),"8,649,000","8,649,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),RDAP 404
bartan.wtf,.wtf,آزاد (قابل خرید),"992,000","10,463,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.yachts,.yachts,آزاد (قابل خرید),"669,000","5,232,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
bartan.yoga,.yoga,آزاد (قابل خرید),"9,072,000","9,072,000",مشابه نرخ ثبت (فاقد تخفیف سال اول),NXDOMAIN
bartan.zone,.zone,آزاد (قابل خرید),"3,344,000","11,165,000",نرخ تمدید پس از تخفیف سال اول,NXDOMAIN
